sale_id,date,service,price,promotion,quantity,revenue,cost,profit,region,age,gender,income,channel,payment_method
S00034,2023-01-04,Electrical Wiring,122.44,SPRING10,3,330.59,220.39,110.2,TX,40.0,Female,120k+,Phone,Debit Card
S00035,2023-01-04,Water Heater Installation,627.78,None,1,627.78,376.67,251.11,TX,42.0,Female,<40k,Phone,Cash
S00036,2023-01-04,Fence Repair,1405.59,SUMMER15,1,1194.75,843.36,351.4,NJ,34.0,Non-binary,120k+,Online Booking,Debit Card
S00037,2023-01-04,Painting,276.56,SPRING10,1,248.91,165.94,82.97,CA,34.0,Non-binary,<40k,Walk-in,Cash
S00038,2023-01-04,Plumbing Repair,1331.77,None,1,1331.77,799.06,532.71,WA,54.0,Non-binary,40-80k,Online Booking,Credit Card
S00039,2023-01-05,Lawn Maintenance,1358.95,None,1,1358.95,815.37,543.58,NY,36.0,Non-binary,40-80k,Phone,Credit Card
S00040,2023-01-05,Window Replacement,382.51,SPRING10,2,688.52,459.02,229.51,CA,32.0,Non-binary,<40k,Phone,Cash
S00041,2023-01-05,Painting,1164.56,SPRING10,1,1048.1,698.74,349.37,PA,30.0,Male,80-120k,Phone,Debit Card
S00042,2023-01-05,Painting,1159.03,LOYALTY,1,927.23,695.42,231.81,PA,34.0,Male,<40k,Phone,Credit Card
S00043,2023-01-05,Electrical Wiring,416.11,REFERRAL20,1,332.88,249.66,83.22,FL,39.0,Non-binary,80-120k,Online Booking,Cash
S00044,2023-01-05,Electrical Wiring,755.98,SPRING10,1,680.38,453.59,226.79,PA,37.0,Female,40-80k,Phone,Cash
S00045,2023-01-05,Window Replacement,1478.52,REFERRAL20,1,1182.81,887.11,295.7,CA,37.0,Non-binary,80-120k,Walk-in,Credit Card
S00046,2023-01-05,Lawn Maintenance,1176.69,SUMMER15,1,1000.18,706.01,294.17,NY,36.0,Male,40-80k,Phone,Cash
S00047,2023-01-05,Window Replacement,891.58,SPRING10,1,802.42,534.95,267.47,PA,39.0,Male,,Walk-in,Mobile Pay
S00048,2023-01-06,Painting,1243.32,None,2,2486.63,1491.98,994.65,NY,34.0,Non-binary,120k+,Phone,Credit Card
S00049,2023-01-06,Plumbing Repair,221.39,SUMMER15,1,188.18,132.83,55.35,TX,37.0,Non-binary,80-120k,Online Booking,Mobile Pay
S00050,2023-01-06,Gutter Cleaning,1261.39,LOYALTY,1,1009.11,756.84,252.28,CA,47.0,Male,<40k,Walk-in,Debit Card
S00051,2023-01-06,Gutter Cleaning,1409.55,None,1,1409.55,845.73,563.82,PA,41.0,,40-80k,Phone,Debit Card
S00052,2023-01-06,,608.77,SUMMER15,2,1034.9,730.52,304.38,PA,44.0,Male,80-120k,Online Booking,Debit Card
S00053,2023-01-06,Electrical Wiring,485.79,SUMMER15,1,412.92,291.48,121.45,NJ,50.0,Non-binary,40-80k,Online Booking,Debit Card
S00054,2023-01-06,Lawn Maintenance,1401.16,LOYALTY,1,1120.93,840.7,280.23,CA,47.0,Male,80-120k,Phone,Debit Card
S00055,2023-01-07,Painting,1217.2,SPRING10,1,1095.48,730.32,365.16,NY,38.0,Female,<40k,Phone,Debit Card
S00056,2023-01-07,Roof Repair,495.87,LOYALTY,1,396.7,297.52,99.17,PA,33.0,Female,40-80k,Online Booking,Credit Card
S00057,2023-01-07,Roof Repair,1476.13,LOYALTY,1,1180.9,885.68,295.23,PA,52.0,Female,<40k,Phone,Cash
S00058,2023-01-07,Gutter Cleaning,708.34,LOYALTY,2,1133.35,850.01,283.34,PA,35.0,Male,<40k,Phone,Debit Card
S00059,2023-01-07,Window Replacement,352.92,SUMMER15,2,599.96,423.5,176.46,CA,33.0,Male,120k+,Phone,Cash
S00060,2023-01-07,Water Heater Installation,1158.67,REFERRAL20,1,926.94,695.2,231.73,NY,29.0,Female,40-80k,Phone,Credit Card
S00061,2023-01-07,Water Heater Installation,951.5,None,1,951.5,570.9,380.6,FL,31.0,Female,120k+,Online Booking,Cash
S00062,2023-01-07,Window Replacement,181.84,SUMMER15,1,154.57,109.1,45.46,NY,47.0,Non-binary,80-120k,Walk-in,Cash
S00063,2023-01-07,Water Heater Installation,764.03,SUMMER15,1,649.43,458.42,191.01,NJ,28.0,Non-binary,80-120k,Walk-in,Debit Card
S00064,2023-01-07,Roof Repair,180.35,LOYALTY,1,144.28,108.21,36.07,NJ,23.0,Non-binary,40-80k,Walk-in,Cash
S00065,2023-01-07,Water Heater Installation,1338.08,REFERRAL20,1,1070.46,802.85,267.62,CA,56.0,Female,80-120k,Online Booking,Mobile Pay
S00066,2023-01-08,Window Replacement,687.07,REFERRAL20,1,549.65,412.24,137.41,PA,50.0,Female,120k+,Phone,Debit Card
S00067,2023-01-08,Gutter Cleaning,675.02,LOYALTY,1,540.02,405.01,135.0,TX,37.0,Non-binary,<40k,Phone,Cash
S00068,2023-01-08,Electrical Wiring,615.55,SPRING10,3,1661.99,1107.99,554.0,IL,40.0,Male,40-80k,Online Booking,Credit Card
S00069,2023-01-08,Plumbing Repair,689.03,SPRING10,1,620.13,413.42,206.71,WA,42.0,Non-binary,<40k,Phone,Mobile Pay
S00070,2023-01-08,Window Replacement,914.9,SPRING10,1,823.41,548.94,274.47,NJ,44.0,Female,120k+,Online Booking,Debit Card
S00071,2023-01-08,Plumbing Repair,1310.11,None,1,1310.11,786.07,524.05,NJ,18.0,Male,40-80k,Walk-in,Mobile Pay
S00072,2023-01-08,Plumbing Repair,1453.39,REFERRAL20,1,1162.71,872.03,290.68,FL,34.0,Male,120k+,Online Booking,Mobile Pay
S00073,2023-01-08,Gutter Cleaning,216.51,REFERRAL20,2,346.42,259.81,86.6,PA,32.0,Female,120k+,Walk-in,Mobile Pay
S00074,2023-01-08,Lawn Maintenance,869.6,LOYALTY,1,695.68,521.76,173.92,WA,39.0,Female,40-80k,Walk-in,Cash
S00075,2023-01-08,Gutter Cleaning,1328.85,LOYALTY,1,1063.08,797.31,265.77,FL,42.0,Female,120k+,Online Booking,Cash
S00076,2023-01-08,Roof Repair,176.45,SUMMER15,3,449.96,317.62,132.34,PA,52.0,Female,<40k,Online Booking,Debit Card
S00077,2023-01-08,Roof Repair,817.66,LOYALTY,1,654.13,490.6,163.53,TX,51.0,Non-binary,40-80k,Online Booking,Mobile Pay
S00078,2023-01-09,Water Heater Installation,526.86,SUMMER15,1,447.83,316.12,131.72,WA,39.0,Female,<40k,Online Booking,Mobile Pay
S00079,2023-01-09,Water Heater Installation,280.7,REFERRAL20,1,224.56,168.42,56.14,CA,38.0,Non-binary,120k+,Phone,Credit Card
S00080,2023-01-09,HVAC Servicing,418.47,SUMMER15,1,355.7,251.08,104.62,NJ,55.0,Female,40-80k,Phone,Debit Card
S00081,2023-01-09,Painting,565.82,LOYALTY,2,905.31,678.99,226.33,WA,26.0,Male,120k+,Phone,Mobile Pay
S00082,2023-01-09,,1347.6,LOYALTY,1,1078.08,808.56,269.52,TX,39.0,Non-binary,<40k,Phone,Credit Card
S00083,2023-01-09,Electrical Wiring,1093.54,LOYALTY,3,2624.5,1968.37,656.12,TX,30.0,Female,40-80k,Online Booking,Cash
S00084,2023-01-10,Water Heater Installation,358.02,SUMMER15,1,304.32,214.81,89.51,FL,49.0,Female,80-120k,Phone,Mobile Pay
S00085,2023-01-10,Painting,130.59,LOYALTY,1,104.47,78.35,26.12,IL,39.0,Male,120k+,Online Booking,Credit Card
S00086,2023-01-10,HVAC Servicing,948.26,SPRING10,1,853.43,568.95,284.48,NY,28.0,Non-binary,<40k,Online Booking,Debit Card
S00087,2023-01-10,Roof Repair,137.95,None,1,137.95,82.77,55.18,TX,38.0,Male,40-80k,Phone,Credit Card
S00088,2023-01-10,Window Replacement,849.76,SPRING10,1,764.78,509.86,254.93,WA,49.0,Non-binary,,Phone,Debit Card
S00089,2023-01-10,Window Replacement,644.89,REFERRAL20,2,1031.83,773.87,257.96,NY,36.0,Male,80-120k,Online Booking,Credit Card
S00090,2023-01-10,,961.1,REFERRAL20,2,1537.76,1153.32,384.44,NJ,47.0,Female,40-80k,Online Booking,Debit Card
S00091,2023-01-10,Electrical Wiring,1446.88,SUMMER15,1,1229.85,868.13,361.72,NY,22.0,Non-binary,<40k,Phone,Mobile Pay
S00092,2023-01-10,,1442.42,None,1,1442.42,865.45,576.97,PA,36.0,Male,120k+,Phone,Credit Card
S00093,2023-01-10,,911.76,SUMMER15,1,775.0,547.06,227.94,WA,33.0,Non-binary,40-80k,Phone,Debit Card
S00094,2023-01-10,Gutter Cleaning,1498.31,SUMMER15,1,1273.56,898.99,374.58,WA,24.0,Female,120k+,Walk-in,Cash
S00095,2023-01-10,HVAC Servicing,909.96,SPRING10,1,818.96,545.98,272.99,NY,37.0,Female,120k+,Online Booking,Mobile Pay
S00096,2023-01-10,Window Replacement,814.64,REFERRAL20,1,651.72,488.79,162.93,NJ,28.0,Female,<40k,Phone,Cash
S00097,2023-01-11,Lawn Maintenance,543.04,LOYALTY,1,434.43,325.82,108.61,FL,38.0,Female,80-120k,Phone,Cash
S00098,2023-01-11,Window Replacement,899.2,SUMMER15,2,1528.63,1079.03,449.6,CA,44.0,Non-binary,40-80k,Online Booking,Debit Card
S00099,2023-01-11,Water Heater Installation,108.66,LOYALTY,2,173.85,130.39,43.46,FL,36.0,Non-binary,120k+,Walk-in,Mobile Pay
S00100,2023-01-11,Fence Repair,460.68,None,1,460.68,276.41,184.27,NY,40.0,Female,40-80k,Phone,Debit Card
S00101,2023-01-11,Painting,1070.07,REFERRAL20,1,856.06,642.04,214.01,PA,59.0,Female,80-120k,Phone,Cash
S00102,2023-01-11,HVAC Servicing,667.9,LOYALTY,1,534.32,400.74,133.58,IL,62.0,Female,80-120k,Online Booking,Credit Card
S00103,2023-01-12,Roof Repair,1468.44,SUMMER15,2,2496.35,1762.13,734.22,NY,65.0,Non-binary,40-80k,Online Booking,Debit Card
S00104,2023-01-12,Fence Repair,418.17,SUMMER15,1,355.44,250.9,104.54,IL,39.0,Male,40-80k,Phone,Debit Card
S00105,2023-01-12,HVAC Servicing,1072.96,SPRING10,1,965.66,643.77,321.89,IL,52.0,Male,40-80k,Phone,Credit Card
S00106,2023-01-12,Plumbing Repair,338.65,REFERRAL20,1,270.92,203.19,67.73,IL,,Non-binary,40-80k,Walk-in,Mobile Pay
S00107,2023-01-12,Electrical Wiring,585.74,None,1,585.74,351.45,234.3,IL,39.0,Female,120k+,Phone,Cash
S00108,2023-01-12,Lawn Maintenance,1211.62,None,1,1211.62,726.97,484.65,IL,55.0,Female,<40k,Online Booking,Mobile Pay
S00109,2023-01-12,Fence Repair,578.9,None,2,1157.79,694.68,463.12,CA,32.0,Male,40-80k,Walk-in,Cash
S00110,2023-01-12,Electrical Wiring,806.3,SPRING10,1,725.67,483.78,241.89,NY,32.0,Non-binary,120k+,Walk-in,Debit Card
S00111,2023-01-12,Gutter Cleaning,112.72,LOYALTY,1,90.18,67.63,22.54,WA,18.0,Female,80-120k,Walk-in,Mobile Pay
S00112,2023-01-12,Painting,1453.76,REFERRAL20,1,1163.0,872.25,290.75,CA,45.0,Non-binary,<40k,Online Booking,Debit Card
S00113,2023-01-12,Painting,1308.8,None,1,1308.8,785.28,523.52,TX,50.0,Male,40-80k,Walk-in,Credit Card
S00114,2023-01-12,Lawn Maintenance,916.35,None,1,916.35,549.81,366.54,NJ,41.0,Female,120k+,Phone,Credit Card
S00115,2023-01-12,Roof Repair,620.86,SUMMER15,1,527.73,372.52,155.22,IL,18.0,Non-binary,120k+,Online Booking,Debit Card
S00116,2023-01-12,,1313.88,REFERRAL20,1,1051.11,788.33,262.78,FL,30.0,Female,<40k,Walk-in,Debit Card
S00117,2023-01-12,Lawn Maintenance,1453.43,SUMMER15,3,3706.24,2616.17,1090.07,TX,32.0,Male,<40k,Online Booking,Cash
S00118,2023-01-12,Window Replacement,1353.78,REFERRAL20,3,3249.07,2436.8,812.27,IL,27.0,Female,<40k,Phone,Cash
S00119,2023-01-12,Water Heater Installation,720.81,SUMMER15,1,612.69,432.49,180.2,WA,59.0,Female,<40k,Walk-in,Credit Card
S00120,2023-01-13,Water Heater Installation,482.86,SUMMER15,1,410.43,289.72,120.72,IL,42.0,Male,<40k,Online Booking,Credit Card
S00121,2023-01-13,Painting,172.32,REFERRAL20,1,137.86,103.39,34.46,CA,24.0,Male,120k+,Walk-in,Mobile Pay
S00122,2023-01-13,Painting,541.89,SPRING10,1,487.7,325.13,162.57,NJ,27.0,Non-binary,120k+,Online Booking,Mobile Pay
S00123,2023-01-13,HVAC Servicing,549.03,LOYALTY,1,439.22,329.42,109.81,PA,26.0,Female,<40k,Online Booking,Cash
S00124,2023-01-13,Water Heater Installation,907.16,LOYALTY,3,2177.19,1632.89,544.3,IL,18.0,Non-binary,120k+,Walk-in,Credit Card
S00125,2023-01-13,Fence Repair,438.24,None,1,438.24,262.95,175.3,PA,47.0,Female,80-120k,Online Booking,Mobile Pay
S00126,2023-01-13,Gutter Cleaning,224.01,None,1,224.01,134.41,89.6,WA,55.0,Female,<40k,Online Booking,Cash
S00127,2023-01-13,Window Replacement,189.73,LOYALTY,1,151.79,113.84,37.95,WA,31.0,Male,40-80k,Phone,Debit Card
S00128,2023-01-13,Painting,1278.27,LOYALTY,1,1022.62,766.96,255.65,WA,,Male,<40k,Walk-in,Debit Card
S00129,2023-01-13,Lawn Maintenance,1281.34,SUMMER15,1,1089.14,768.8,320.33,CA,35.0,Non-binary,120k+,Online Booking,Debit Card
S00130,2023-01-13,Electrical Wiring,1434.63,LOYALTY,1,1147.7,860.78,286.93,NY,36.0,Non-binary,40-80k,Phone,Cash
S00131,2023-01-13,Gutter Cleaning,378.73,SUMMER15,1,321.92,227.24,94.68,NJ,48.0,Female,120k+,Online Booking,Mobile Pay
S00132,2023-01-13,Gutter Cleaning,275.9,SPRING10,1,248.31,165.54,82.77,NJ,61.0,Male,,Online Booking,Cash
S00133,2023-01-13,Water Heater Installation,434.25,SUMMER15,1,369.11,260.55,108.56,IL,56.0,Male,80-120k,Walk-in,Cash
S00134,2023-01-14,Window Replacement,404.43,REFERRAL20,1,323.55,242.66,80.89,,32.0,Male,120k+,Walk-in,Mobile Pay
S00135,2023-01-14,HVAC Servicing,647.28,SUMMER15,3,1650.58,1165.11,485.46,NJ,28.0,Female,80-120k,Online Booking,Debit Card
S00136,2023-01-14,Window Replacement,808.3,LOYALTY,1,646.64,484.98,161.66,FL,31.0,Female,<40k,Phone,Mobile Pay
S00137,2023-01-14,Water Heater Installation,1301.65,LOYALTY,2,2082.64,1561.98,520.66,TX,53.0,Female,<40k,Online Booking,Cash
S00138,2023-01-14,Electrical Wiring,537.97,LOYALTY,1,430.37,322.78,107.59,NY,29.0,Non-binary,120k+,Online Booking,Debit Card
S00139,2023-01-14,Water Heater Installation,1082.19,SPRING10,1,973.97,649.31,324.66,NY,22.0,Female,80-120k,Phone,Mobile Pay
S00140,2023-01-14,Electrical Wiring,1070.73,SUMMER15,1,910.12,642.44,267.68,NJ,30.0,Female,120k+,Walk-in,Credit Card
S00141,2023-01-14,Window Replacement,525.73,None,2,1051.46,630.88,420.59,FL,35.0,Non-binary,80-120k,Online Booking,Credit Card
S00142,2023-01-14,Water Heater Installation,1117.83,None,1,1117.83,670.7,447.13,NY,22.0,Female,40-80k,Walk-in,Cash
S00143,2023-01-14,Plumbing Repair,1482.32,None,1,1482.32,889.39,592.93,PA,50.0,Male,80-120k,Phone,Cash
S00144,2023-01-15,Water Heater Installation,1381.14,SPRING10,1,1243.02,828.68,414.34,FL,56.0,Non-binary,120k+,Walk-in,Debit Card
S00145,2023-01-15,Lawn Maintenance,1152.52,SPRING10,1,10372.7,691.51,345.76,NY,37.0,Non-binary,120k+,Walk-in,Debit Card
S00146,2023-01-15,Fence Repair,567.29,REFERRAL20,1,453.83,340.37,113.46,TX,22.0,Male,120k+,Walk-in,Cash
S00147,2023-01-15,Fence Repair,1344.6,SUMMER15,1,1142.91,806.76,336.15,CA,43.0,Female,80-120k,Walk-in,Debit Card
S00148,2023-01-15,Electrical Wiring,171.63,LOYALTY,1,137.31,102.98,34.33,PA,62.0,Non-binary,80-120k,Walk-in,Mobile Pay
S00149,2023-01-15,Painting,788.8,LOYALTY,1,631.04,473.28,157.76,IL,40.0,Male,120k+,Phone,Credit Card
S00150,2023-01-15,Roof Repair,551.93,LOYALTY,1,441.55,331.16,110.39,PA,26.0,Non-binary,,Walk-in,Cash
S00151,2023-01-15,Plumbing Repair,749.58,LOYALTY,1,599.66,449.75,149.92,IL,33.0,Male,<40k,Walk-in,Mobile Pay
S00152,2023-01-15,Painting,1186.23,SPRING10,2,2135.21,1423.47,711.74,PA,43.0,Male,40-80k,Walk-in,Cash
S00153,2023-01-16,Lawn Maintenance,1174.87,None,1,1174.87,704.92,469.95,CA,50.0,Female,120k+,Online Booking,Cash
S00154,2023-01-16,Lawn Maintenance,908.29,None,1,908.29,544.98,363.32,IL,44.0,Female,120k+,Online Booking,Debit Card
S00155,2023-01-16,Lawn Maintenance,741.71,REFERRAL20,1,593.37,445.03,148.34,PA,40.0,Non-binary,80-120k,Online Booking,Cash
S00156,2023-01-16,Fence Repair,214.03,SUMMER15,1,1819.1999999999998,128.42,53.51,PA,36.0,Male,120k+,Online Booking,Debit Card
S00157,2023-01-16,Roof Repair,509.72,LOYALTY,1,407.77,305.83,101.94,PA,44.0,Male,120k+,Online Booking,Cash
S00158,2023-01-16,Gutter Cleaning,1213.02,None,1,1213.02,727.81,485.21,WA,32.0,Female,80-120k,Walk-in,Mobile Pay
S00159,2023-01-16,HVAC Servicing,246.04,None,1,246.04,147.62,98.42,FL,40.0,Female,<40k,Walk-in,Cash
S00160,2023-01-16,Window Replacement,754.17,SPRING10,1,678.75,452.5,226.25,NY,50.0,Non-binary,120k+,Walk-in,Cash
S00161,2023-01-17,Water Heater Installation,1009.38,None,2,2018.76,1211.25,807.5,TX,44.0,Male,<40k,Phone,Mobile Pay
S00162,2023-01-17,Electrical Wiring,205.39,None,1,205.39,123.23,82.16,FL,51.0,Non-binary,40-80k,Phone,Mobile Pay
S00163,2023-01-17,HVAC Servicing,169.03,REFERRAL20,1,135.23,101.42,33.81,NJ,35.0,Non-binary,40-80k,Phone,Credit Card
S00164,2023-01-17,Fence Repair,639.08,REFERRAL20,2,1022.53,766.9,255.63,NJ,33.0,Female,<40k,Walk-in,Cash
S00165,2023-01-17,Roof Repair,954.53,LOYALTY,2,1527.24,1145.43,381.81,WA,33.0,Male,80-120k,Online Booking,Cash
S00166,2023-01-17,Gutter Cleaning,1130.29,SUMMER15,1,960.75,678.17,282.57,CA,43.0,Female,80-120k,Online Booking,Credit Card
S00167,2023-01-17,Fence Repair,994.75,None,1,994.75,596.85,397.9,FL,43.0,Non-binary,<40k,Online Booking,Cash
S00168,2023-01-17,Roof Repair,134.5,SPRING10,1,121.05,80.7,40.35,FL,38.0,Male,40-80k,Walk-in,Debit Card
S00169,2023-01-17,Roof Repair,1115.46,SUMMER15,2,1896.28,1338.55,557.73,TX,53.0,Non-binary,<40k,Phone,Debit Card
S00170,2023-01-17,Lawn Maintenance,279.69,REFERRAL20,1,223.75,167.81,55.94,IL,53.0,Male,<40k,Walk-in,Credit Card
S00171,2023-01-17,Lawn Maintenance,1475.48,None,2,2950.95,1770.57,1180.38,PA,34.0,Male,80-120k,Online Booking,Debit Card
S00172,2023-01-17,Painting,607.21,None,2,1214.42,728.65,485.77,TX,39.0,Non-binary,120k+,Walk-in,Credit Card
S00173,2023-01-17,Electrical Wiring,1082.1,LOYALTY,1,865.68,649.26,216.42,WA,38.0,Female,<40k,Phone,Debit Card
S00174,2023-01-18,Window Replacement,756.63,None,2,1513.27,907.96,605.31,IL,33.0,Female,<40k,Online Booking,Mobile Pay
S00175,2023-01-18,Water Heater Installation,997.52,LOYALTY,1,798.02,598.51,199.5,,32.0,Female,120k+,Online Booking,Credit Card
S00176,2023-01-18,HVAC Servicing,1461.6,REFERRAL20,1,1169.28,876.96,292.32,TX,40.0,Male,40-80k,Phone,Cash
S00177,2023-01-18,Water Heater Installation,769.01,REFERRAL20,1,615.21,461.41,153.8,IL,51.0,Female,120k+,Online Booking,Credit Card
S00178,2023-01-18,Gutter Cleaning,1101.45,SPRING10,1,991.31,660.87,330.44,NJ,52.0,Female,40-80k,Phone,Cash
S00179,2023-01-18,Fence Repair,541.94,LOYALTY,1,433.55,325.16,108.39,NJ,36.0,Non-binary,<40k,Phone,Mobile Pay
S00180,2023-01-19,HVAC Servicing,936.76,SUMMER15,2,1592.48,1124.11,468.38,PA,41.0,Male,,Online Booking,Credit Card
S00181,2023-01-19,Electrical Wiring,1347.17,None,1,1347.17,808.3,538.87,NJ,31.0,Male,80-120k,Online Booking,Credit Card
S00182,2023-01-19,,1039.07,REFERRAL20,2,1662.51,1246.89,415.63,PA,39.0,Non-binary,<40k,Phone,Cash
S00183,2023-01-19,Water Heater Installation,442.52,None,1,442.52,265.51,177.01,IL,43.0,Non-binary,80-120k,Phone,Credit Card
S00184,2023-01-19,Window Replacement,369.49,REFERRAL20,1,295.59,221.69,73.9,FL,24.0,Male,120k+,Online Booking,Credit Card
S00185,2023-01-19,HVAC Servicing,1375.57,REFERRAL20,2,2200.91,1650.68,550.23,PA,37.0,Male,80-120k,Walk-in,Debit Card
S00186,2023-01-19,Water Heater Installation,579.35,REFERRAL20,1,463.48,347.61,115.87,CA,51.0,Non-binary,80-120k,Online Booking,Debit Card
S00187,2023-01-19,Painting,227.89,SUMMER15,1,193.71,136.74,56.97,PA,27.0,Female,<40k,Online Booking,Debit Card
S00188,2023-01-19,Window Replacement,363.53,LOYALTY,1,290.82,218.12,72.71,NY,43.0,Male,<40k,Online Booking,Debit Card
S00189,2023-01-19,Water Heater Installation,179.8,LOYALTY,1,143.84,107.88,35.96,WA,40.0,Female,40-80k,Phone,Cash
S00190,2023-01-19,HVAC Servicing,1247.29,REFERRAL20,1,997.84,748.38,249.46,NY,34.0,Male,40-80k,Online Booking,Credit Card
S00191,2023-01-19,Electrical Wiring,589.46,SUMMER15,1,501.04,353.68,147.37,WA,47.0,Non-binary,120k+,Phone,Mobile Pay
S00192,2023-01-19,Water Heater Installation,913.06,SUMMER15,1,776.1,547.84,228.26,FL,53.0,Non-binary,<40k,Phone,Mobile Pay
S00193,2023-01-19,Electrical Wiring,1045.32,SUMMER15,1,888.52,627.19,261.33,WA,31.0,Non-binary,80-120k,Online Booking,Debit Card
S00194,2023-01-20,Water Heater Installation,281.8,REFERRAL20,1,225.44,169.08,56.36,CA,36.0,Male,40-80k,Phone,Debit Card
S00195,2023-01-20,Lawn Maintenance,1302.04,SUMMER15,3,3320.2,2343.67,976.53,IL,28.0,Female,<40k,Online Booking,Mobile Pay
S00196,2023-01-20,Water Heater Installation,247.91,SPRING10,2,446.24,297.49,148.75,TX,44.0,Female,40-80k,Walk-in,Cash
S00197,2023-01-20,Electrical Wiring,910.26,LOYALTY,1,728.21,546.16,182.05,CA,47.0,Female,<40k,Phone,Credit Card
S00198,2023-01-20,HVAC Servicing,1268.24,REFERRAL20,1,1014.59,760.94,253.65,,49.0,Non-binary,120k+,Walk-in,Mobile Pay
